n	w_1      	q        	time     	gamma_1  	checksum 	prop     
182	1	8327	86.3910418	0.0280563	?	1.7209410
183	1	8419	88.7258025	0.0279312	?	1.7196345
184	1	8511	91.4141760	0.0278081	?	1.7241676
185	1	8603	94.1372251	0.0276871	?	1.7282091
186	1	8696	96.7652412	0.0275664	?	1.7292629
187	1	8790	99.0493808	0.0274460	?	1.7232095
188	1	8884	101.5276573	0.0273276	?	1.7198963
189	1	8978	104.3045714	0.0272111	?	1.7208314
190	1	9073	107.0242521	0.0270948	?	1.7197705
191	1	9169	110.3540716	0.0269789	?	1.7272941
192	1	9265	112.7315450	0.0268649	?	1.7190810
193	1	9361	116.0839775	0.0267526	?	1.7249563
194	1	9458	118.4811533	0.0266406	?	1.7157135
195	1	9556	121.6377216	0.0265289	?	1.7166759
196	1	9654	125.0245382	0.0264189	?	1.7199656
197	1	9752	128.1768684	0.0263107	?	1.7191639
198	1	9851	131.9105368	0.0262027	?	1.7250576
199	1	9951	134.6243057	0.0260950	?	1.7167123
200	1	10051	138.8546047	0.0259889	?	1.7268755
